stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,633.0,-89.871967,35.630787
-14,657.7,-89.875607,35.625199
-13,660.9,-89.875607,35.625199
-12,664.1,-89.875607,35.625199
-11,667.2,-89.875607,35.625199
-10,670.4,-89.875607,35.625199
-9,673.6,-89.875607,35.625199
-8,676.8,-89.875607,35.625199
-7,680.0,-89.875607,35.625199
-6,683.2,-89.875607,35.625199
-5,686.4,-89.875607,35.625199
-4,689.6,-89.875607,35.625199
-3,692.8,-89.875607,35.625199
-2,696.0,-89.875607,35.625199
-1,699.1,-89.875607,35.625199
0,707.9,-89.875607,35.625199
1,721.2,-89.875607,35.625199
2,734.4,-89.875607,35.625199
3,743.0,-89.880278,35.622844
4,771.6,-89.875607,35.625199
5,789.8,-89.877653,35.623776
6,792.0,-89.877653,35.623776
7,794.1,-89.877653,35.623776
8,796.2,-89.877653,35.623776
9,798.4,-89.877653,35.623776
10,850.3,-89.877653,35.623776
11,850.3,-89.877653,35.623776
12,850.3,-89.877653,35.623776
13,850.3,-89.877653,35.623776
14,850.3,-89.877653,35.623776
15,850.3,-89.877653,35.623776
16,850.3,-89.877653,35.623776
17,850.3,-89.877653,35.623776
18,850.3,-89.877653,35.623776
19,850.3,-89.877653,35.623776
